filename,width,height,class,xmin,ymin,xmax,ymax
CPLX_G0010033.jpg,800,640,pothole,433,326,447,329
CPLX_G0010033.jpg,800,640,pothole,318,334,338,338
CPLX_G0010033.jpg,800,640,pothole,241,336,252,340
CPLX_G0010033.jpg,800,640,pothole,121,333,143,336
CPLX_G0010033.jpg,800,640,pothole,73,336,89,340
CPLX_G0010033.jpg,800,640,pothole,57,336,69,341
CPLX_G0010034.jpg,800,640,pothole,392,330,412,334
CPLX_G0010034.jpg,800,640,pothole,259,344,283,348
CPLX_G0010034.jpg,800,640,pothole,170,348,186,352
CPLX_G0010034.jpg,800,640,pothole,123,346,146,351
CPLX_G0010034.jpg,800,640,pothole,45,344,68,349
CPLX_G0010035.jpg,800,640,pothole,345,337,368,342
CPLX_G0010035.jpg,800,640,pothole,183,358,211,364
CPLX_G0010035.jpg,800,640,pothole,80,367,101,372
CPLX_G0010035.jpg,800,640,pothole,29,365,59,372
CPLX_G0010036.jpg,800,640,pothole,287,352,317,358
CPLX_G0010036.jpg,800,640,pothole,78,384,112,393
CPLX_G0010036.jpg,800,640,pothole,379,353,392,357
CPLX_G0010037.jpg,800,640,pothole,192,380,233,392
CPLX_G0010037.jpg,800,640,pothole,310,383,332,389
CPLX_G0010109.jpg,800,640,pothole,431,312,440,316
CPLX_G0010109.jpg,800,640,pothole,412,308,422,311
CPLX_G0010110.jpg,800,640,pothole,435,317,448,322
CPLX_G0010110.jpg,800,640,pothole,412,311,423,315
CPLX_G0010111.jpg,800,640,pothole,440,333,456,338
CPLX_G0010111.jpg,800,640,pothole,408,321,422,324
CPLX_G0010111.jpg,800,640,pothole,413,315,425,318
CPLX_G0010111.jpg,800,640,pothole,426,312,441,316
CPLX_G0010111.jpg,800,640,pothole,454,307,465,311
CPLX_G0010111.jpg,800,640,pothole,442,304,452,307
CPLX_G0010111.jpg,800,640,pothole,446,301,454,303
CPLX_G0010112.jpg,800,640,pothole,418,355,472,373
CPLX_G0010112.jpg,800,640,pothole,401,330,419,336
CPLX_G0010112.jpg,800,640,pothole,405,322,425,326
CPLX_G0010112.jpg,800,640,pothole,421,317,443,322
CPLX_G0010112.jpg,800,640,pothole,457,310,474,314
CPLX_G0010112.jpg,800,640,pothole,441,307,454,311
CPLX_G0010112.jpg,800,640,pothole,446,302,456,305
CPLX_G0010112.jpg,800,640,pothole,431,302,440,304
CPLX_G0010112.jpg,800,640,pothole,420,301,427,302
CPLX_G0010113.jpg,800,640,pothole,389,354,416,363
